2025-11-19 15:09:11 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-19 15:09:12 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-19 15:09:12 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-19 15:09:12 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-19 15:09:16 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-19 15:09:16 [main] INFO  com.testCases.TC001_AccountRegistration - Account Created Successfully
2025-11-19 15:09:16 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-19 15:09:21 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-19 15:09:22 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-19 15:09:22 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-19 15:09:22 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-19 15:09:23 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-19 15:09:24 [main] INFO  com.testCases.TC002_UserLogin - Login Successfully
2025-11-19 15:09:24 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
