2025-11-25 13:55:50 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\admin\eclipse-workspace1\SwiftTest\Master.xml] otherwise TestNG may fail or not work as expected.
2025-11-25 13:55:51 [main] INFO  com.testCases.TC001_AccountRegistration - Opening chrome browser
2025-11-25 13:55:55 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-25 13:55:55 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-25 13:55:56 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-25 13:55:56 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-25 13:55:59 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-25 13:55:59 [main] INFO  com.testCases.TC001_AccountRegistration - Account Created Successfully
2025-11-25 13:55:59 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
