2025-11-19 14:13:00 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-19 14:13:01 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-19 14:13:01 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-19 14:13:01 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-19 14:13:06 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-19 14:13:06 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-19 14:13:13 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-19 14:13:14 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-19 14:13:14 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-19 14:13:14 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-19 14:13:15 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
