2025-11-25 13:51:20 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\admin\eclipse-workspace1\SwiftTest\Master.xml] otherwise TestNG may fail or not work as expected.
2025-11-25 13:51:21 [main] INFO  com.testCases.TC001_AccountRegistration - Opening chrome browser
2025-11-25 13:51:24 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-25 13:51:25 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-25 13:51:25 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-25 13:51:25 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-25 13:51:29 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-25 13:51:29 [main] INFO  com.testCases.TC001_AccountRegistration - Account Created Successfully
2025-11-25 13:51:29 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-25 13:51:29 [main] INFO  com.testCases.TC002_UserLogin - Opening chrome browser
2025-11-25 13:51:32 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-25 13:51:32 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-25 13:51:33 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-25 13:51:33 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-25 13:51:33 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-25 13:51:34 [main] INFO  com.testCases.TC002_UserLogin - Login Successfully
2025-11-25 13:51:34 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
